term,estimate,std.error,statistic,p.value,conf.low,conf.high
weekly_exercise,1.694732632474969,0.020792465987416537,25.37096801104547,5.275797489366474e-142,1.6271511601017954,1.7653451706434093
alcohol_consumption_frequency,0.7792489038355873,0.020600910981178024,-12.107462978464644,9.643082040975458e-34,0.7483045727475475,0.8112481478232716
bmi,0.9886026022892612,0.004482743654439343,-2.5571049113947506,0.010554737981880575,0.9799300633560363,0.9973027899843161
diagnosed_other_cancer,2.140734241653633,0.39605700020529927,1.9218164894676888,0.05462885272704039,0.9149765818457062,4.406982927475117
diagnosed_diabetes,0.7919711786895759,0.12473970418674689,-1.8697357019875613,0.06152052910226592,0.6156191082378324,1.0045463040106934
smoker,0.8817757800160565,0.07738974757052584,-1.625764095539226,0.10399984905103617,0.7559357401939161,1.02398896746943
age_bin45-64,0.749381024533678,0.19904935654675038,-1.4494280153768446,0.14721808965353986,0.5088894982101163,1.1109853028603462
age_bin25-44,0.8130055894400406,0.15363872507071274,-1.3474291346968577,0.1778420625235035,0.6051475770720876,1.1059915432508165
diagnosed_afib,0.6848144712279607,0.32613935605254823,-1.1608759117887788,0.24569236610301615,0.3414834118601666,1.24067133816538
diagnosed_hypertension,1.07596052506281,0.07900557597531757,0.9266912292986776,0.35408687261915467,0.9196421823131098,1.253652819993519
diagnosed_sleep_apnea,1.1027654030039409,0.11682085502206878,0.8373592857046859,0.40239064398088514,0.8721041199056967,1.3792850226787372
diagnosed_lung_cancer,1.4814817156124622,0.47217889088835413,0.8324021969905067,0.4051819623742373,0.5333282406213825,3.494804463257685
diagnosed_dementia,0.6274565483651733,0.7549288005982413,-0.6173838587660626,0.5369815660525532,0.09808243295182305,2.1916501549929652
age,1.0025442518273653,0.0047753516425341706,0.532111745537057,0.594648602900355,0.9932035564998416,1.0119725463439277
family_medical_dementia,0.9563564202772502,0.09115392312058573,-0.4895522795625152,0.6244507516376002,0.7957323922463186,1.137964507386824
age_bin65+,0.8899456555313684,0.28935500462462266,-0.4029475124241574,0.6869868375765433,0.5042437672965658,1.5684905725094738
family_medical_diabetes,1.0175029676685592,0.04623256835607795,0.37531021041912793,0.7074297734276098,0.9278653598655009,1.1123392410160227
family_medical_cancer,0.9780997007847291,0.06353102219249838,-0.348548942490594,0.7274279644926409,0.8625251754768675,1.1065149608956824
family_medical_heart_disease,1.0172300319492864,0.06084879940104305,0.2807496356926414,0.7789024353603102,0.9000502306932336,1.142799957229957
sexM,1.0065708071059425,0.04930891311055925,0.13282210136380848,0.8943340748630654,0.9138335635713529,1.1087217807344092
